datetime,buoy,longitude,latitude,u,v,speed,depth,sea_ice_concentration
2020-05-01,2019P112,25.399305,84.4341,-0.009915006339507676,-0.00338587371344317,0.01047718910375597,-4013.427389660709,99.0
2020-05-02,2019P112,25.318,84.4314,0.06543349924758579,-0.044055364786163176,0.07888230467110934,-4011.573150713138,99.0
2020-05-03,2019P112,25.851190000000003,84.3961,0.046155722862751096,-0.0017335592623986245,0.04618826669944795,-4006.1353102367148,99.0
2020-05-04,2019P112,26.22719,84.3946,,,,-3983.817307007263,99.0
2020-05-05,2019P112,,,,,,,
2020-05-06,2019P112,25.525705000000002,84.4529,-0.09229541775187364,0.025117881818830762,0.0956522457920232,-4012.9054963737617,99.0
2020-05-07,2019P112,24.76322,84.4724,,,,-3951.629464857632,98.0
2020-05-08,2019P112,,,,,,,
2020-05-09,2019P112,,,,,,,
2020-05-10,2019P112,20.30119,84.229895,-0.049339447448375,-0.12941487273745245,0.13850122873159637,-4000.3493130529187,98.0
2020-05-11,2019P112,19.91761,84.1268,,,,-4012.1084707463015,99.0
2020-05-12,2019P112,,,,,,,
2020-05-13,2019P112,,,,,,,
2020-05-14,2019P112,,,,,,,
2020-05-15,2019P112,,,,,,,
2020-05-16,2019P112,14.8424,84.1494,-0.00023100053719137762,-0.011438106314607902,0.011440438685315168,-4013.0898093366104,98.0
2020-05-17,2019P112,14.8406,84.1403,,,,-4008.00042085254,98.0
2020-05-18,2019P112,,,,,,,
2020-05-19,2019P112,,,,,,,
2020-05-20,2019P112,,,,,,,
2020-05-21,2019P112,,,,,,,
2020-05-22,2019P112,,,,,,,
2020-05-23,2019P112,,,,,,,
2020-05-24,2019P112,,,,,,,
2020-05-25,2019P112,,,,,,,
2020-05-26,2019P112,,,,,,,
2020-05-27,2019P112,,,,,,,
2020-05-28,2019P112,,,,,,,
2020-05-29,2019P112,,,,,,,
2020-05-30,2019P112,,,,,,,
2020-05-31,2019P112,,,,,,,
2020-06-01,2019P112,,,,,,,
2020-06-02,2019P112,,,,,,,
2020-06-03,2019P112,,,,,,,
2020-06-04,2019P112,,,,,,,
2020-06-05,2019P112,,,,,,,
2020-06-06,2019P112,,,,,,,
2020-06-07,2019P112,,,,,,,
2020-06-08,2019P112,,,,,,,
2020-06-09,2019P112,,,,,,,
2020-06-10,2019P112,,,,,,,
2020-06-11,2019P112,,,,,,,
2020-06-12,2019P112,,,,,,,
2020-06-13,2019P112,,,,,,,
2020-06-14,2019P112,,,,,,,
2020-06-15,2019P112,,,,,,,
2020-06-16,2019P112,,,,,,,
2020-06-17,2019P112,,,,,,,
2020-06-18,2019P112,,,,,,,
2020-06-19,2019P112,,,,,,,
2020-06-20,2019P112,,,,,,,
2020-06-21,2019P112,,,,,,,
2020-06-22,2019P112,,,,,,,
2020-06-23,2019P112,,,,,,,
2020-06-24,2019P112,,,,,,,
2020-06-25,2019P112,,,,,,,
2020-06-26,2019P112,,,,,,,
2020-06-27,2019P112,,,,,,,
2020-06-28,2019P112,,,,,,,
2020-06-29,2019P112,,,,,,,
2020-06-30,2019P112,,,,,,,
2020-07-01,2019P112,,,,,,,
2020-07-02,2019P112,,,,,,,
2020-07-03,2019P112,,,,,,,
2020-07-04,2019P112,,,,,,,
2020-07-05,2019P112,,,,,,,
2020-07-06,2019P112,,,,,,,
2020-07-07,2019P112,,,,,,,
2020-07-08,2019P112,,,,,,,
2020-07-09,2019P112,,,,,,,
2020-07-10,2019P112,,,,,,,
2020-07-11,2019P112,,,,,,,
2020-07-12,2019P112,,,,,,,
2020-07-13,2019P112,,,,,,,
2020-07-14,2019P112,,,,,,,
2020-07-15,2019P112,,,,,,,
2020-07-16,2019P112,,,,,,,
2020-07-17,2019P112,,,,,,,
2020-07-18,2019P112,,,,,,,
2020-07-19,2019P112,,,,,,,
2020-07-20,2019P112,,,,,,,
2020-07-21,2019P112,,,,,,,
2020-07-22,2019P112,,,,,,,
2020-07-23,2019P112,,,,,,,
2020-07-24,2019P112,,,,,,,
2020-07-25,2019P112,,,,,,,
2020-07-26,2019P112,,,,,,,
2020-07-27,2019P112,,,,,,,
2020-07-28,2019P112,,,,,,,
2020-07-29,2019P112,,,,,,,
2020-07-30,2019P112,,,,,,,
2020-07-31,2019P112,,,,,,,
2020-08-01,2019P112,,,,,,,
2020-08-02,2019P112,,,,,,,
2020-08-03,2019P112,,,,,,,
2020-08-04,2019P112,,,,,,,
2020-08-05,2019P112,,,,,,,
2020-08-06,2019P112,,,,,,,
2020-08-07,2019P112,,,,,,,
2020-08-08,2019P112,,,,,,,
2020-08-09,2019P112,,,,,,,
2020-08-10,2019P112,,,,,,,
2020-08-11,2019P112,,,,,,,
2020-08-12,2019P112,,,,,,,
2020-08-13,2019P112,,,,,,,
2020-08-14,2019P112,,,,,,,
2020-08-15,2019P112,9.56817,82.9218,-0.06456004833638947,-0.04569880025924256,0.0790972830527768,-3791.9006732382427,74.0
2020-08-16,2019P112,9.154005,82.8853,-0.10169178244859448,-0.09595335656232729,0.13981511096140284,-3487.480472410734,86.0
2020-08-17,2019P112,8.508600000000001,82.80860000000001,-0.11755616961672664,0.015365621150857094,0.11855612733346291,-3513.1413392616387,81.0
