floe_id,datetime,latitude,longitude,x,y
1,2008-03-31 12:01:07,70.57809,-24.37164,748115.8,-1987342.7
1,2008-03-31 13:18:37,70.57797,-24.37117,748136.7,-1987348.6
1,2008-04-01 12:44:00,70.57815,-24.3719,748104.5,-1987339.9
1,2008-04-01 14:01:26,70.57804,-24.37144,748124.8,-1987345.1
1,2008-04-02 11:48:53,70.57797,-24.37117,748136.9,-1987348.8
1,2008-04-02 13:06:23,70.57794,-24.37106,748141.6,-1987350.0
1,2008-04-03 12:31:44,70.57798,-24.37122,748134.4,-1987348.0
1,2008-04-03 13:49:15,70.57806,-24.37154,748120.3,-1987343.9
1,2008-04-04 11:36:39,70.57798,-24.37122,748134.4,-1987348.0
1,2008-04-04 12:54:10,70.57795,-24.37106,748141.4,-1987349.8
1,2008-04-05 12:19:28,70.57808,-24.37159,748117.9,-1987343.2
1,2008-04-05 13:37:03,70.57771,-24.37094,748154.9,-1987373.1
1,2008-04-06 14:19:50,70.58798,-24.3663,747912.7,-1986241.4
1,2008-04-07 12:07:13,70.5877,-24.39594,746896.0,-1986657.4
1,2008-04-07 13:24:50,70.57914,-24.37327,748018.2,-1987254.4
2,2008-03-31 12:01:07,74.24669,-17.90391,782026.0,-1528469.6
2,2008-03-31 13:18:37,74.24301,-17.91208,781993.1,-1528943.4
2,2008-04-02 11:48:53,74.05137,-18.19811,783885.6,-1551702.8
2,2008-04-02 13:06:23,74.05211,-18.19911,783821.4,-1551643.0
2,2008-04-03 12:31:44,73.94252,-18.29875,786557.8,-1563811.0
2,2008-04-03 13:49:15,73.93367,-18.30464,786835.9,-1564764.9
3,2008-03-31 12:01:07,72.95614,-20.94154,758060.5,-1697967.4
3,2008-03-31 13:18:37,72.95339,-20.93869,758269.2,-1698207.5
3,2008-04-01 12:44:00,72.96976,-20.93395,757670.8,-1696490.2
3,2008-04-01 14:01:26,72.9571,-20.94154,758017.0,-1697869.6
3,2008-04-03 12:31:44,72.9481,-20.94702,758260.6,-1698851.8
3,2008-04-03 13:49:15,72.94402,-20.94778,758422.5,-1699274.6
3,2008-04-04 11:36:39,72.94879,-20.94668,758239.8,-1698778.1
3,2008-04-04 12:54:10,72.94751,-20.94674,758295.5,-1698907.9
3,2008-04-05 12:19:28,72.9544,-20.9426,758107.3,-1698156.4
3,2008-04-05 13:37:03,72.95175,-20.94359,758197.5,-1698437.1
11,2008-03-31 12:01:07,80.32479,0.03765,743293.9,-742317.6
11,2008-03-31 13:18:37,80.30111,0.00251,744665.3,-744600.1
11,2008-04-01 12:44:00,80.19622,0.03388,753167.9,-752277.6
11,2008-04-01 14:01:26,80.16801,0.04045,755432.4,-754366.5
11,2008-04-02 13:06:23,80.01032,-0.07845,766014.4,-768114.9
11,2008-04-03 12:31:44,79.88617,-0.05131,775950.2,-777341.2
11,2008-04-03 13:49:15,79.85781,-0.00224,778804.3,-778865.2
11,2008-04-04 11:36:39,79.69234,-0.41529,785848.2,-797323.5
11,2008-04-04 12:54:10,79.66177,-0.50955,786874.0,-800995.8
11,2008-04-05 12:19:28,79.51395,-0.70485,795411.1,-815226.0
11,2008-04-05 13:37:03,79.4977,-0.72718,796332.3,-816807.0
11,2008-04-06 11:24:26,79.39892,-0.72818,803848.6,-824545.2
11,2008-04-06 14:19:50,79.3864,-0.66039,805779.5,-824571.8
14,2008-03-31 12:01:07,74.3829,-14.47158,864500.8,-1465967.7
14,2008-03-31 13:18:37,74.37796,-14.48071,864543.2,-1466574.1
14,2008-04-01 12:44:00,74.27655,-14.6756,865197.7,-1479161.7
14,2008-04-01 14:01:26,74.26747,-14.67322,865764.6,-1479990.2
19,2008-03-31 12:01:07,79.5347,-2.84839,762841.8,-842726.6
19,2008-03-31 13:18:37,79.5048,-2.83599,765215.9,-844981.6
19,2008-04-01 12:44:00,79.36909,-2.80959,775559.2,-855610.5
19,2008-04-02 11:48:53,79.20597,-2.87622,786516.1,-869728.7
19,2008-04-02 13:06:23,79.18002,-2.88236,788324.1,-871915.8
19,2008-04-03 12:31:44,79.03909,-3.02498,796450.7,-885324.0
