buoy,GC,GS,NB,YP
2019F2,0.4496670858320885,,0.05163684185399686,0.8727158517529792
2019O1,,,0.07140148576167771,
2019O3,0.3050665002156151,,0.042664712138806404,0.8703383657590598
2019O4,,,0.05386825710434007,
2019O5,,,0.04956349082759992,0.818871914889485
2019O6,,,0.05783068496281263,0.8666525185981625
2019P102,0.5839934407537402,,0.0512655510846286,0.885277582882807
2019P103,,0.4259223668230375,0.06086124212243127,0.8861442738726641
2019P105,0.48455238387448885,,0.06393541703302386,0.8597872976297944
2019P123,,,0.07300735987526463,
2019P124,,0.19118287581197824,0.05017706841492586,0.835965621299144
2019P125,,0.558106590021463,0.04734764051019913,
2019P127,,,,0.6922813938904445
2019P128,,,,0.5658993643677687
2019P137,,,0.05711560808379479,0.8222388042646207
2019P138,,,,0.8911984809290138
2019P139,0.3678274735752325,,0.05513976054022163,0.8611106986641827
2019P140,,0.5515681129232625,0.05271784163433302,
2019P142,0.3677552869980275,,0.07182491975159377,
2019P144,0.4330103836263042,0.35485676166963853,0.048664375777209945,0.8296204358028012
2019P146,,0.42695799875983564,,
2019P148,,0.3726303030338952,0.061266928186032854,0.8579615137784045
2019P151,0.27337984012268624,0.2609985627984015,,0.873134691874434
2019P152,,0.1424107661596571,,0.5916415937258492
2019P155,,,0.055715877825498694,0.8787223118245577
2019P157,,,0.11117827594058405,
2019P158,,0.26824779555988676,,0.8665880507533867
2019P159,0.370225848212954,,,
2019P182,0.4008963448628473,,,
2019P184,,,,0.6010772949161145
2019P191,0.5040688418673753,,0.07489687016881252,
2019P192,,,0.0741637905573932,0.7332667000420081
2019P194,0.29936021167841687,,0.07017962060190186,
2019P195,0.4622549782808346,,0.05210332143855456,0.8758435885803069
2019P196,,,0.052377341425212554,
2019P197,,,0.06554658741726305,
2019P198,,0.4513580282977655,0.05258536909963474,0.8572886997926251
2019P199,0.38695325932914615,,0.05333875272797661,0.8597416297833436
2019P200,0.38480086722701035,,0.05282396026220404,0.8673955870996206
2019P201,0.35348854120985407,,0.05265041492571132,0.8773812277152357
2019P202,,0.3027177637205828,0.06338267076044124,
2019P203,,,0.05178297274484267,
2019P204,,,0.05575750622805109,0.8658186332133163
2019P205,0.35987466101216425,,0.06487216516005723,0.8466313363661269
2019P206,,0.5223286453277336,0.052596895523753906,0.8695942973913994
2019P209,0.38939968375079603,,0.06746676990078104,0.8121831210373877
2019P90,,,0.04852951845893705,
2019P92,,,0.07357483586396552,0.72442404897373
2019R8,,,0.0676634963484517,
2019R9,,,0.052004069846628864,
2019S81,0.30503489536389417,,0.04251372071032855,0.8703438555176465
2019S86,,,0.058062089989368015,0.8666940587822773
2019S93,0.449442306650052,,0.05159832675587461,0.8729082538673447
2019S94,,,0.052357517710322043,0.8679918667957465
2019S96,0.30172426499010263,,0.05952766706125012,0.8726940140169901
2019T56,,,0.05531474193251018,
2019T58,,,0.053734366006085166,0.8711949705186949
2019T59,,,0.04276226871292532,0.8714740936786
2019T62,0.3020266952262619,,0.0595679375860072,0.8727712591859611
2019T63,0.44323477534352873,,,0.8739475987312219
2019T64,,,0.05774217518463942,0.866677610669098
2019T65,0.446506617799749,,0.05199985583479916,0.8740117071476514
2019T66,0.4417943069017153,,0.05796215449415465,0.8759243932209653
2019T67,,,0.06737003292943822,
2019T68,,,0.07131994646172612,
2019T69,0.33320344508394184,0.3028075644860968,0.06084201160851466,0.8606356482340587
2019T70,,,0.052332118834318764,0.868139002356284
2019V2,0.4830708123056633,,,0.8875464428661244
2019V3,0.2587517839535355,,0.04262708745486665,
2019V4,,,,0.8187543164416431
2020E1,0.3897161572619764,,0.05762461426886123,0.8768555195588063
2020E2,,,0.05583495046201803,
2020E3,0.29460935510662545,,0.05883483863361538,0.8728625731319367
2020M26,0.4338626370525678,,,
2020M29,,,0.05945544654733825,0.8727678669934444
2020P160,0.2677792563397604,0.3388349805983153,0.047782295049104695,
2020P185,,0.4881242972700611,0.0624793734233845,0.8660809479292558
2020P186,0.32557433691789406,,0.051561654318488914,0.8944112518772279
2020P210,0.5218858517886991,,0.05437833757374533,
2020P211,,,0.04599900394506018,0.8009296243271758
2020P213,0.5972404361627355,,0.04090246968152855,0.9034223184222919
2020P214,,,0.07125677715727963,0.79390253291807
2020P215,,,0.053004515294465926,0.8664654919840526
2020P216,0.4074915408829083,,0.05618000878987517,
2020P217,0.6524223065955947,,0.050945632522750084,0.8875204380287228
2020P218,0.3230275333260466,,0.05045780834044433,0.8968625723995804
2020P219,,0.4769700759483778,0.05216591985657648,0.8658410382795179
2020P220,,,0.053468271290229685,0.8484759407092771
2020P225,0.32648489753541976,0.08708775948792069,0.056201666789766236,0.8740432327658448
2020P226,0.3278673371698756,,0.05765791474737991,0.8739347346299705
2020P227,0.4265174667022966,,0.05654862227610957,0.8671697731542887
2020P228,0.38321186198950374,,0.1539915965271783,0.87421578158995
2020R10,,,0.0572709396030161,0.876585559934135
2020R11,0.3021816166477237,,0.05965098309131556,0.8729125080543925
2020R12,,,0.05225674128744451,0.8681892629886803
2020S97,,,0.057459347799843186,0.876861473355284
2020S99,,,0.06764945396607569,
2020T61,,,0.05803134690190792,0.8766994469615941
2020T73,0.37004272244460157,,0.054317651269292444,0.8940705719938172
2020T74,0.3606829927669013,,0.05501988084623921,0.8614490280667337
2020T75,0.4563072531575969,,0.058089796647783354,0.8762904402771015
2020T76,,,0.05398217491455437,0.8835205837074428
2020T77,,,0.061107448325793734,
2020T79,,,0.05742498506671323,0.8736108543180929
ASFS30UCB3,0.450213104552067,,,
