frequency,2019P144,2019T69,2019P151,2019P152,2019P146,2019P140,2019P124,2020P160,2019P125,2019P103,2020P219,2020P225,2020P185,2019P206,2019P158,2019P198,2019P148,2019P202
11.892376681614351,3.0592092668172265e-11,2.3667225436973127e-10,1.970444867481163e-09,2.4327315852603424e-10,4.953979592471633e-13,1.5620144581095973e-13,5.155084537198427e-10,4.932035820810992e-10,1.570276588443887e-10,6.779643724533108e-10,3.817200857613567e-10,7.787458343204517e-10,1.5707728772794199e-09,1.7152165310318067e-09,1.6333113817902159e-09,1.2802150635733324e-09,6.485364249128049e-13,1.7641207239807707e-10
11.838565022421525,1.4693179292122412e-10,5.378894375324413e-10,3.1279075890998708e-09,1.5313284197376273e-09,9.080058745583565e-13,2.263235057545644e-13,6.251005732995125e-10,4.532576525025193e-10,1.6554179684865e-10,1.5213179886049814e-09,3.2749839977172663e-09,8.622433549403976e-10,1.761949469856471e-09,1.5420040303774036e-09,3.935256678085264e-09,1.6839170585487222e-09,1.873333065059661e-12,2.993392880756317e-10
11.7847533632287,1.707330753640241e-10,1.0988235476658198e-09,5.721078568661986e-09,3.040113674239666e-09,8.709394880910505e-12,4.2538105571911176e-13,4.992941139612678e-10,6.382329839841521e-10,2.8927518764238934e-10,2.0796950275771468e-09,8.637705515178863e-09,3.7594807572045795e-09,3.347730957519344e-09,1.4083195031292588e-09,3.936534911653045e-09,1.517766014185607e-09,6.476189756523908e-12,8.5398979588068e-10
11.730941704035875,3.8713383027121493e-10,1.6575818922676178e-09,1.033417407644922e-08,3.9188071288776775e-09,1.152654033322249e-11,6.16446607375197e-13,1.4818345581367718e-09,6.857950892023815e-10,5.633068432161377e-10,2.0883849373998486e-09,1.8289028317825216e-08,1.1574019245543537e-08,3.0899619414885395e-09,1.2815669017739566e-09,4.969453387680549e-09,9.232146615184174e-10,1.0013943945396662e-11,1.6502993562021446e-09
11.67713004484305,3.409598630372906e-10,2.562894104951373e-09,1.0286798231783272e-08,2.979821451519267e-09,1.5177800693561788e-11,8.179075905559377e-12,3.516293133227697e-09,1.299385595594296e-09,6.59048429843595e-10,2.227896256453115e-09,2.3513096443534732e-08,3.217275246787831e-08,3.6943867128906258e-09,1.7023011237682776e-09,4.7667972702604256e-09,1.9836252393878905e-09,9.360728528124216e-12,2.0703314245612356e-09
11.623318385650224,9.442120202205244e-10,4.684416669608341e-09,7.895065650984733e-09,4.7725996292506e-09,1.1175157777852688e-11,3.7598125879341066e-11,5.812546992601364e-09,4.1911024356292205e-09,5.562789630615327e-10,1.8686689856673443e-09,2.1641199225626025e-08,5.751084536967811e-08,2.761778246289606e-09,1.6873813197895064e-09,4.5395084941082656e-09,3.7382102270014575e-09,6.951658608033245e-12,2.4548772823212545e-09
11.5695067264574,1.119873007874303e-09,1.5790307276740606e-08,7.1878725311817034e-09,1.3277005058069537e-08,4.1705455233675606e-11,4.766735432984252e-11,8.741255886159727e-09,6.947523874092796e-09,4.278273365206452e-10,1.4883880680938369e-09,1.9461346678004534e-08,5.012278836446226e-08,2.6759172556184688e-09,4.8075456243409036e-09,6.47935055153204e-09,4.4344977976098054e-09,3.4616758682155126e-12,1.8326171772214698e-09
11.515695067264575,1.399797089414035e-09,2.4286373012924528e-08,1.462401490866551e-08,2.1282056172722038e-08,6.564044504586251e-11,9.868158395517274e-11,7.768527034509915e-09,1.0136086932631187e-08,2.7138367171706714e-09,2.840261951512641e-09,2.980637405854664e-08,8.712048941424285e-08,2.7874824904188327e-09,1.0538967156110877e-08,1.4238290296577146e-08,3.9500513033836605e-09,5.8882393731894664e-12,1.906302510369604e-09
11.461883408071749,1.788221766163966e-09,2.289380281048222e-08,1.7474440495536485e-08,5.668607852426797e-08,7.811344352477912e-11,1.640334663556863e-10,1.1031724356751799e-08,1.7679163431758337e-08,4.881182911806377e-09,1.1152977748603144e-08,4.364529742626676e-08,1.4497874782499455e-07,2.5922896179162984e-09,1.555706178287449e-08,2.0507301387351287e-08,3.7089307657892597e-09,2.1201644972697694e-11,1.5400590966009046e-09
11.408071748878925,1.6926870007242154e-09,1.72158171145022e-08,1.9432986684482727e-08,1.0414830382226653e-07,4.8584758114441674e-11,2.611793484915238e-10,9.864930948497932e-09,2.121646240438023e-08,4.900026160337115e-09,2.279648741492787e-08,5.266906779087875e-08,1.7655989125898113e-07,2.0068486424566943e-09,1.7932386406031072e-08,1.7592558183513214e-08,4.884644951541765e-09,9.389974383816488e-11,1.3274713916211013e-09
