frequency,2019P144,2019O3,2019T69,2019P151,2019P184,2019V2,2019P152,2019P195,2019O5,2020R10,2020R11,2019P209,2020M29,2019P155,2019V4,2019O6,2020R12,2019P127,2020P215,2020T73,2019S86,2019S93,2020P228,2020P214,2019P124,2020P217,2020T75,2020T61,2020P213,2020E1,2019S94,2019S81,2020T74,2020T76,2019S96,2020E3,2020P211,2019P137,2020P220,2019P139,2019P105,2020T79,2019P138,2019P128,2020P226,2020P186,2020P227,2019P103,2020P219,2020P225,2019F2,2020P185,2020P218,2019P102,2019P206,2019P158,2020S97,2019P199,2019P204,2019T62,2019T63,2019P205,2019P198,2019P201,2019T66,2019P200,2019P148,2019T70,2019T64,2019T58,2019T59,2019T65
0.10762331838565023,6.152213612066553e-06,5.592109462256603e-06,5.84802361869452e-06,6.418391706756292e-06,1.3557599555811434e-05,7.297138051121383e-06,1.8430870814032252e-06,8.148581357974453e-06,8.251514077307995e-06,6.3374237137834915e-06,6.039348937821403e-06,6.421163013401066e-06,6.038303078050426e-06,1.313503232732007e-05,8.256202075223183e-06,7.85664681726721e-06,6.512171234235604e-06,4.5546175815419725e-05,9.734132862498293e-06,7.628448791516816e-06,7.869745255846683e-06,7.209126135304984e-06,6.365503037840391e-06,4.102621044884843e-06,5.34263621139949e-06,7.501714530334384e-06,6.254882064241908e-06,6.2438313830759495e-06,4.743252130474791e-06,6.369306176816175e-06,6.507750119884211e-06,5.587227734172116e-06,6.165855599387556e-06,1.023366269324079e-05,6.0405941219320035e-06,6.030141884670513e-06,1.6354318042599482e-05,7.727692978893484e-06,1.0564902810627788e-05,5.7114798981446275e-06,9.465910762372891e-06,6.307004547041478e-06,7.684343856990654e-06,1.939588858542342e-05,6.222085624368036e-06,5.4161784601430665e-06,6.237836974652523e-06,1.0435264497558535e-05,5.9454172195317145e-06,6.217573337637901e-06,7.176572807572846e-06,7.636827444524227e-06,6.3455661025937785e-06,8.166864898313799e-06,6.3909616913163595e-06,5.724162058314411e-06,6.236014275432843e-06,6.334059684001862e-06,5.835463272322588e-06,6.037661493191159e-06,7.669201524979075e-06,7.175981645741726e-06,4.605010923174979e-06,9.645880316540143e-06,6.1978580318005295e-06,6.175227930906525e-06,1.2196603713078294e-05,6.5132066108768695e-06,7.875209286335597e-06,5.649479071163177e-06,5.459591650170884e-06,7.666951681401256e-06
0.16143497757847536,6.909087610722445e-06,4.395013904681532e-06,9.088994372922602e-06,8.380693533467518e-06,1.7030446622849524e-05,8.040591280526344e-06,1.9587083680838387e-06,8.20637527911585e-06,8.354685675029157e-06,8.151760475069226e-06,8.150663110010464e-06,9.0765128337356e-06,8.148051944696456e-06,4.660520354370967e-05,8.350256178866875e-06,1.1169921767560462e-05,8.418903047361937e-06,5.94208465988572e-05,1.1274206708755624e-05,6.702998673690985e-06,1.1169159309618917e-05,7.249741176243488e-06,8.342471503192785e-06,1.017076347361418e-05,7.683865098083165e-06,6.7252174922371065e-06,7.995396451138776e-06,8.03869777873784e-06,4.907423106257118e-06,8.154331743521976e-06,8.417085093243689e-06,4.395878359561642e-06,8.039934880795063e-06,8.52002248203639e-06,8.15118780091866e-06,8.142287640818869e-06,8.78250584829715e-06,7.341332855922247e-06,9.275335767524162e-06,9.07698693215611e-06,1.1330935890791712e-05,8.177643407805119e-06,6.710592611826035e-06,5.943805613129071e-05,8.119888675523174e-06,6.1430340850312955e-06,8.27987330308351e-06,8.190008696157094e-06,8.150072819477133e-06,8.147069862379059e-06,7.259240999815225e-06,8.296249674105246e-06,5.6133607588934195e-06,6.528695685628256e-06,8.168796501261995e-06,8.097876814483455e-06,7.91006651019567e-06,8.272175616985402e-06,7.974096384414791e-06,8.151344424296618e-06,7.3891655500594466e-06,9.07874618439715e-06,9.805921788554971e-06,8.439376844437854e-06,7.94028653001461e-06,8.822429896616253e-06,1.08064346991729e-05,8.421396201107527e-06,1.1171339850476852e-05,7.793932252037729e-06,4.471547062636469e-06,7.389619988293572e-06
0.21524663677130046,7.429229501054631e-06,4.0233803706800125e-06,1.3881103340337521e-05,9.13369227030138e-06,2.999632999634781e-05,6.0979734119408e-06,5.7508390355769805e-06,7.866919302428348e-06,7.0941532698605655e-06,8.751161664157145e-06,9.265664992105915e-06,1.5297238579294978e-05,9.261577972776196e-06,8.527881497517248e-05,7.068614285964329e-06,1.913695533531219e-05,1.2095093402875077e-05,5.576383514822165e-05,2.005346667416161e-05,7.495309735434596e-06,1.912916434295623e-05,7.562766322624929e-06,9.119801789802295e-06,2.0587552766653134e-05,1.3014982593848102e-05,5.544282335304177e-06,8.87799122852426e-06,8.93264929894494e-06,5.722337925496883e-06,8.779346894112121e-06,1.2096461515225957e-05,4.025953539394319e-06,9.004007965829304e-06,7.989146620142714e-06,9.265917497132565e-06,9.258987966744939e-06,6.147718321261513e-06,9.69088094112944e-06,8.071181471313992e-06,1.1782539960560627e-05,1.8184136263608287e-05,8.92780044581209e-06,7.568508250988275e-06,7.545425743654482e-05,9.07003738579116e-06,7.307730101894494e-06,9.77877133407613e-06,7.948633030045408e-06,9.510187215165124e-06,9.122657755050547e-06,7.536207701499531e-06,1.1369583849870649e-05,4.654831087190992e-06,6.915222302836128e-06,1.2096857722774823e-05,1.0234481461748776e-05,8.75430154255416e-06,9.135585858180194e-06,1.0040632801462925e-05,9.268207153615074e-06,6.9199665586354905e-06,1.298974096792396e-05,1.663266522073946e-05,8.329635110777544e-06,8.88855348526234e-06,1.2515022974410532e-05,1.870382016617717e-05,1.2104484546960992e-05,1.913745197501592e-05,9.703188251387047e-06,4.015289415620876e-06,6.919983010517275e-06
0.26905829596412556,6.297671823428364e-06,4.549958601665134e-06,1.9039255172176658e-05,9.5399995879614e-06,7.973938027785932e-05,5.362607069942426e-06,7.604998923368604e-05,7.5890529239259225e-06,5.312768130762517e-06,9.123320155061057e-06,9.540346855930656e-06,2.6909545882921835e-05,9.55529732230274e-06,8.108820052369274e-05,5.4734402949230125e-06,3.199766196952653e-05,1.4847124697865991e-05,2.772019230129483e-05,3.287271161643323e-05,6.605481388970466e-06,3.197273432101024e-05,6.699801523510959e-06,9.539836655397718e-06,5.4547623130289506e-05,1.596516282525902e-05,4.068360804525574e-06,9.315179857286025e-06,9.310810639983644e-06,3.909462525718537e-06,9.04567133002935e-06,1.484435255560918e-05,4.556559668563293e-06,8.804196418522854e-06,8.617033937102197e-06,9.556166097192704e-06,9.53556350076212e-06,1.1280734862981964e-05,1.6330266507669375e-05,1.129226727240578e-05,1.4073057756204654e-05,3.0330851111260245e-05,9.56365932038286e-06,6.715999521322184e-06,5.926314433993227e-05,9.8065040760351e-06,6.014700963568345e-06,8.877314667167526e-06,7.883953326013856e-06,1.1643183909342911e-05,9.763474217315328e-06,6.719368408543193e-06,1.2559136935126784e-05,3.653892260148372e-06,5.5597439259951065e-06,1.5208285183525059e-05,9.46112494537072e-06,9.540131490609469e-06,9.024290309008165e-06,9.255206016960929e-06,9.56249962260134e-06,7.108867121280374e-06,1.9695335413478937e-05,2.192222722037862e-05,7.5320371675917e-06,9.288113663824848e-06,1.5011966277112644e-05,3.342400089851265e-05,1.4854649246939788e-05,3.1997739447937864e-05,1.1133186079989154e-05,4.561470459626228e-06,7.1056123402934805e-06
0.3228699551569507,7.016022170729166e-06,8.610695924840438e-06,1.8960040772240898e-05,8.903969685525569e-06,0.00015349175870774874,6.1758958965019695e-06,0.00016508834694639552,7.159990984760148e-06,1.0149619271157966e-05,8.468432479498681e-06,8.955524332553136e-06,2.681778819084117e-05,8.959097236694582e-06,5.601429359815209e-05,1.0407909141158092e-05,3.7418878266498766e-05,1.2586966648319047e-05,2.643887852306572e-05,3.7170493510354054e-05,5.89066354816109e-06,3.737118207771217e-05,6.654942520670887e-06,8.724632806195256e-06,9.456705752607518e-05,1.3217192042684886e-05,7.522738771366204e-06,8.726729795073525e-06,8.721090077764138e-06,5.115889202372886e-06,8.393774707892205e-06,1.2572143300749023e-05,8.616282797789677e-06,7.752084204991651e-06,6.917334103202146e-06,8.970794922955826e-06,8.940591707443433e-06,1.753284068161753e-05,2.3476168206378513e-05,1.399202870995591e-05,1.1140747519765625e-05,3.63258178082304e-05,8.880071558142376e-06,5.877810418842402e-06,2.5147094910825454e-05,9.252514755732086e-06,4.8795327176065125e-06,7.48890604734647e-06,6.3518822769585234e-06,8.418156460358132e-06,9.151954583763812e-06,6.652853041610675e-06,1.1482451029585236e-05,4.87734165655384e-06,4.949741125889633e-06,1.3514071177552523e-05,8.006406179397118e-06,8.855487814908756e-06,8.13909418907914e-06,8.02383580404781e-06,8.976881275019699e-06,7.70642921740837e-06,2.043473060940493e-05,1.9296533131869804e-05,6.318135848710752e-06,8.675958451706004e-06,1.245390342258592e-05,4.0632687090023955e-05,1.2580323033541222e-05,3.7415099968742635e-05,9.194485742759516e-06,8.494237759500603e-06,7.702297087200013e-06
0.3766816143497758,7.813566479392563e-06,1.3081128262204396e-05,1.6689308183505038e-05,9.9291939883405e-06,0.00020368498351054488,7.396712035953532e-06,0.00017160334451766807,8.699924344505442e-06,1.4611125152588659e-05,9.55138428952961e-06,1.033639667071362e-05,2.6840851602961957e-05,1.0397928717727671e-05,4.266391005697866e-05,1.4702376125183378e-05,3.605521988217213e-05,1.2905844134303796e-05,9.588539871486936e-05,3.7555974187652146e-05,7.857849177461727e-06,3.5984163658623274e-05,7.82758940237134e-06,9.20209549754055e-06,0.00011029980646177276,1.1594804592024348e-05,1.6777626516652457e-05,9.820264987928982e-06,9.861925056142844e-06,5.279912132969658e-06,9.643915409163934e-06,1.2882085699614114e-05,1.3066152733522291e-05,8.635083665818566e-06,8.258721470794997e-06,1.0420778467321174e-05,1.0371600772427514e-05,1.7460283734003346e-05,2.4604409481522807e-05,1.310280641809233e-05,1.180603493439261e-05,3.560703582224662e-05,9.233510401102472e-06,7.070690108019891e-06,1.9881705885340063e-05,9.453262002850053e-06,7.032439742981935e-06,8.228616511855644e-06,7.654107871350224e-06,1.0108030589885363e-05,9.559484052306177e-06,7.884850523767969e-06,1.0930158394801854e-05,7.51030638843255e-06,9.641142766021445e-06,1.3505920522038605e-05,8.459481811342039e-06,9.590923576638114e-06,8.4801043313891e-06,8.909988373685119e-06,1.039333827423871e-05,7.997854429902654e-06,2.0545346257017478e-05,1.6638731785480386e-05,8.129106460439161e-06,9.74378113867048e-06,1.2028146068661668e-05,3.8971970185558664e-05,1.2894100653473428e-05,3.604054110634034e-05,9.544740405779785e-06,1.2861632913946168e-05,7.995238651456311e-06
0.4304932735426009,2.305616414184457e-05,2.4678035498642742e-05,3.231437118547448e-05,2.4310293227305236e-05,0.00025219427567006167,1.785033957297451e-05,0.00012071475286566655,2.2180153550980586e-05,3.0913753477660344e-05,2.2568453894607976e-05,2.458053661475183e-05,2.6622593388352605e-05,2.4459706487931448e-05,6.225998804139057e-05,3.071514203763573e-05,5.25542592543363e-05,2.631910502542381e-05,0.00010190933982595522,5.09950340198639e-05,2.3088928292171877e-05,5.256959367198859e-05,2.5224942573019528e-05,2.364599188522082e-05,0.00012424914170584134,2.5932470100069666e-05,2.064238345238742e-05,2.321433601558352e-05,2.3028618660573082e-05,1.4969673098126654e-05,2.3175544544560472e-05,2.6303058064190028e-05,2.4833249757378052e-05,2.2278569159490137e-05,2.211807239902335e-05,2.4599144360083494e-05,2.4490122913359894e-05,1.889318224044754e-05,3.20614485722682e-05,1.7221770659586026e-05,2.922869169409557e-05,5.19074127105902e-05,2.3622323182516998e-05,1.8498740703482204e-05,9.029073194722044e-05,2.453682160278886e-05,2.1061082779119802e-05,2.2949204363051557e-05,2.2131822774925545e-05,2.521643339073584e-05,2.4305475057727262e-05,2.457660166414616e-05,2.578559451548421e-05,1.7910945124552554e-05,2.5302109928797177e-05,2.569476292443301e-05,2.2980632090968197e-05,2.219466726276729e-05,2.182163424469645e-05,2.362357916595216e-05,2.4574555289464288e-05,1.972821781354579e-05,3.089706002717734e-05,3.030819933450538e-05,2.2296678656225812e-05,2.3140481014252845e-05,2.8223579257909892e-05,5.5789066488548165e-05,2.6371993214243935e-05,5.2503650237826137e-05,2.3157905366937506e-05,2.4182244433557565e-05,1.975751319567367e-05
0.484304932735426,5.890766886791878e-05,4.3576332701476175e-05,7.718110970037742e-05,5.711922840481023e-05,0.0002173628525181382,5.017288762967841e-05,0.00013129235078644539,5.351590003545076e-05,6.12075054322701e-05,5.393184408834196e-05,5.751055043394633e-05,5.428062313019201e-05,5.725565413049514e-05,9.35769826794614e-05,6.024991618694716e-05,9.124465082667319e-05,6.94262811739369e-05,0.00015672385279528656,9.272195974299936e-05,5.773648144659784e-05,9.12659861225011e-05,6.020272184109698e-05,5.585334835323742e-05,0.00012949643197837752,6.45488891119072e-05,3.943828302634513e-05,5.51387155014321e-05,5.455363994083263e-05,4.7928930076914166e-05,5.5493425117622886e-05,6.943221266540831e-05,4.3984699742920675e-05,5.550840954974747e-05,5.873716263134406e-05,5.75131649680137e-05,5.745586689046421e-05,2.6880075643789674e-05,7.88366670507205e-05,3.153847448652686e-05,7.490767535897379e-05,9.814712152735421e-05,5.650867836468028e-05,4.592592799912433e-05,0.00023902455013556707,5.8546098642568314e-05,4.6983229443032865e-05,5.86381031475436e-05,5.787335283881982e-05,6.549327168563303e-05,5.809928824509862e-05,5.830904405372225e-05,6.16709363764499e-05,3.643056827057909e-05,4.892443612693615e-05,6.517969792743378e-05,5.820215552267133e-05,5.2805078809402025e-05,5.2568750570136624e-05,5.880235461630171e-05,5.74485336853211e-05,4.625190715306146e-05,7.330832525325195e-05,7.245507708419642e-05,5.702611137205715e-05,5.550164036095885e-05,7.061083879658556e-05,9.433052323003761e-05,6.965755890797569e-05,9.114219944624109e-05,5.901036994256279e-05,4.287457657492132e-05,4.633835409284156e-05
0.5381165919282511,5.7708266219246934e-05,4.173747183122423e-05,8.00507151574195e-05,5.328819930407764e-05,0.00015982120919786128,5.474907209971272e-05,0.00014005112455945293,5.135211443695962e-05,5.806575962542531e-05,5.008276143567835e-05,5.326212812023138e-05,5.564384345569797e-05,5.294346056248861e-05,0.00012371499366003053,5.7181399514412214e-05,9.364023113838077e-05,6.854036114977738e-05,0.00014051466457157616,9.383308540772674e-05,5.632912027469476e-05,9.364939884636321e-05,5.9747538612765034e-05,5.259559885644596e-05,0.00012118155165394131,6.285860460755879e-05,3.917063408325452e-05,5.1215549615144226e-05,5.056263241590891e-05,6.214725526591993e-05,5.1543094308376806e-05,6.858790551578293e-05,4.215753424026602e-05,5.213104736084788e-05,5.555575492224926e-05,5.319588031247206e-05,5.315097182394031e-05,2.8283088852339115e-05,0.00010050566859759005,3.3380879507156295e-05,7.299562949389099e-05,0.00010187632384940305,5.3360342326446565e-05,4.379976895263843e-05,0.00032592490733621485,5.5653393448878204e-05,4.2331280549127676e-05,5.566093863126109e-05,5.418153001418176e-05,6.291599606609221e-05,5.4982416728518416e-05,5.7521307569085835e-05,5.907468990102652e-05,3.319400672413675e-05,4.2819006460412335e-05,6.43050342744922e-05,5.4520497208986324e-05,4.901971695372809e-05,4.926170351024698e-05,5.488118757184746e-05,5.3157046201490014e-05,4.6048400409949145e-05,7.204928459471231e-05,7.24067788954471e-05,5.407948506453824e-05,5.160388807959286e-05,7.021059068541878e-05,9.641710609822546e-05,6.877129938515387e-05,9.353529563442077e-05,5.6614472329703904e-05,4.109349533634642e-05,4.614645439744848e-05
0.5919282511210763,4.495578338720421e-05,2.8736347355275135e-05,6.539487784408898e-05,3.8017024784093654e-05,6.909997327696499e-05,4.733229541462084e-05,0.00012510224980812697,3.477008174238883e-05,3.8845885261247166e-05,3.520661408956165e-05,3.7978688943045545e-05,5.945804858793319e-05,3.7810473527112024e-05,0.00011670539013413508,3.814391751925223e-05,8.194890764826588e-05,6.0864414301574064e-05,0.00016926702611694378,8.552670241527512e-05,3.9277377259092005e-05,8.196262048683955e-05,4.025885127394239e-05,3.561087637613393e-05,8.630683178773503e-05,6.666852885698718e-05,3.3913476768387606e-05,3.645370024643603e-05,3.5899287816303786e-05,5.2863012914173134e-05,3.6349302312223886e-05,6.124865933676339e-05,2.8956095542086367e-05,3.513231683526376e-05,4.112088101348814e-05,3.796262745353001e-05,3.795014444977212e-05,2.4003193834300797e-05,0.00010093853616301756,2.9629742324819754e-05,6.202054756213502e-05,8.170125563800284e-05,3.615607854303081e-05,3.076899023590577e-05,0.00026722554105748,3.760410753833829e-05,2.6762371711462567e-05,3.868497630989723e-05,4.0445260901974954e-05,5.323809730980527e-05,3.725159490909212e-05,3.8581257517560995e-05,4.558627065240095e-05,2.1899206397736238e-05,2.6120185803404323e-05,5.9116036020135165e-05,3.7186443111113936e-05,3.441167606977536e-05,3.364018542219556e-05,3.766906254295583e-05,3.79393436059917e-05,3.099970241144689e-05,5.981551846695508e-05,6.953324055841545e-05,3.8731265576221075e-05,3.675192664538284e-05,6.11960584254169e-05,8.073435600827683e-05,6.087021474383433e-05,8.186987988477874e-05,4.8540519928674895e-05,2.853788765830939e-05,3.107307239471849e-05
