frequency,2019P144,2019O3,2019T69,2019P92,2019P192,2019P151,2019P184,2019V2,2019P152,2019P195,2019O5,2020R10,2020R11,2019P209,2020M29,2019P155,2019V4,2019O6,2020R12,2019P127,2020P215,2020T73,2019S86,2019S93,2020P228,2020P214,2019P124,2020P217,2020T75,2020T61,2020P213,2020E1,2019S94,2019S81,2020T74,2020T76,2019S96,2020E3,2020P211,2019P137,2020P220,2019P139,2019P105,2020T79,2019P138,2019P128,2020P226,2020P186,2020P227,2019P103,2020P219,2020P225,2019F2,2020P185,2020P218,2019P102,2019P206,2019P158,2020S97,2019P199,2019P204,2019T62,2019T63,2019P205,2019P198,2019P201,2019T66,2019P200,2019P148,2019T70,2019T64,2019T58,2019T59,2019T65
11.892376681614351,1.551162146896908e-11,8.843333768750975e-11,3.653608030390952e-11,2.0040145830979354e-10,3.18821646886541e-10,1.495793788034623e-10,9.11272591247589e-11,1.4772052707648286e-10,4.972510223950213e-10,1.1429593895678162e-10,4.885898826981385e-10,5.689248664911593e-10,1.8000764240811158e-10,1.1468960607970693e-10,2.230137967757524e-10,1.427033948748962e-10,5.666491210472053e-10,1.5702670927785954e-10,8.806793742211934e-11,1.0296981069353472e-10,5.679675429126239e-13,4.5134013285331435e-11,1.198794990968065e-10,4.6194489790660384e-10,2.072992947478688e-10,2.1335489722190783e-12,5.2557704102168616e-11,3.7554277232492016e-10,1.2351648416169015e-10,1.0310241393732082e-13,7.429912489848064e-10,6.750309773996422e-11,2.3251597035434904e-11,2.5210281134304533e-10,1.6254465933729695e-10,4.0854732948215185e-10,5.10547886465847e-11,8.784388352020455e-10,8.705065395324015e-12,2.8189298951671317e-13,8.214332822218999e-10,8.053375535869922e-13,1.754534212170512e-10,3.661898745290339e-11,5.922476542623148e-13,1.222696154378065e-10,7.192059622617239e-11,7.375608435653652e-11,3.6570343342223605e-10,6.69857114565816e-11,1.3605059868312898e-10,4.576241077489774e-10,8.286647125840086e-14,3.110346642193427e-11,4.944626740663669e-10,4.0943498084390484e-11,6.258907827424054e-11,1.4000619524050708e-10,5.907838904891152e-10,1.0219353637933413e-10,6.743212525686155e-11,5.446056813790575e-11,9.384713816475294e-11,4.3256129574451103e-10,2.483937414864194e-10,1.4551526720863126e-10,1.1919869607975209e-10,2.762462405981789e-11,6.689260612816079e-13,2.3429552016290457e-13,1.4220058459538469e-10,3.2593879362288003e-13,6.38362149018984e-13,1.4327906712143325e-10
11.838565022421525,1.1901144176808232e-11,1.8322474253768725e-10,1.9368887847459096e-10,2.497529812093532e-10,5.047229174016262e-10,2.2947983948526647e-10,4.915852283545199e-10,3.6762089901692846e-10,1.1286634420840627e-09,2.7439627510127917e-10,9.203262435034103e-10,5.845362339901913e-10,3.642879188299725e-10,5.160235918986308e-10,3.489767799966862e-10,3.345364943004998e-10,1.2335341464988874e-09,2.3224430000177825e-10,2.7968863104934136e-10,2.2481786318963084e-10,4.375660385955227e-12,1.3520249214699553e-10,1.3114784691256955e-10,4.241856224044415e-10,4.837589294559215e-10,2.9515883379433565e-12,8.918457163159946e-11,5.006589935164498e-10,2.1664310230654518e-10,4.377287547909411e-13,8.541654532950352e-10,1.3064650810810916e-10,3.11947017882767e-10,3.184470733027608e-10,1.7644387875972834e-10,6.445853135067253e-10,1.4920995238873742e-10,1.9326705117320113e-09,8.984685381123355e-12,2.808475350281123e-13,1.488004665001571e-09,2.1527751843896144e-12,3.9304032844576665e-10,1.63179675796742e-10,6.622370526789337e-13,2.677657388282403e-10,4.3798018680706023e-10,2.5692643833348405e-10,5.224093509419166e-10,2.448648758135614e-10,3.159296345826714e-10,1.2882696420371688e-09,1.5692551931092353e-13,6.156775837566625e-11,1.0260448241907467e-09,4.144196600962736e-11,8.043905321400941e-11,2.1723016416386926e-10,1.1194456930008728e-09,5.224549245911318e-10,3.6051246930719144e-10,5.875055879550929e-11,3.289492520897857e-10,3.30834227230387e-10,3.226060257082057e-10,2.192386905448773e-10,2.3135166988320342e-10,6.888215913103748e-11,4.6924895173076045e-12,2.6889570908706273e-13,1.8455029107070235e-10,3.2878279552625655e-13,6.697580981124798e-13,4.428930835640839e-10
11.7847533632287,1.4397352324239033e-11,2.099264939719651e-10,2.5668918442648105e-10,4.301532439328094e-10,6.992606936330029e-10,3.151522082287933e-10,1.2392440345406724e-09,2.153416146803092e-09,1.1520421990930738e-09,6.047361396028305e-10,1.5876376270245218e-09,8.397361419732806e-10,3.588718029518864e-10,1.6093972082807363e-09,4.792866084025892e-10,1.180508886519958e-09,2.155967036429289e-09,3.940759852991331e-10,5.31503834245543e-10,2.2324881756775497e-10,1.2855759862401484e-11,4.604231354820247e-10,3.1105704907846465e-10,2.7288091067252985e-10,5.116232033569397e-10,3.0880588563359904e-12,8.108960968334971e-11,8.681150544282934e-10,2.7383730988847446e-10,1.1363036186782374e-12,9.276298449329977e-10,1.9171658392738913e-10,5.74414376244406e-10,3.559363425124361e-10,2.83980146940814e-10,6.409630630129867e-10,3.268653855072989e-10,2.0227615659291976e-09,5.618537789945986e-12,9.690887830859833e-13,1.7149756988854325e-09,3.019459503937923e-12,5.085297856695594e-10,2.9837855216663657e-10,1.0894230780497171e-12,6.128519418693086e-10,5.332799802321598e-10,1.0483976294693554e-09,4.72908126851219e-10,6.316361651993774e-10,5.080348294548862e-10,2.0167412886268975e-09,1.5529256384535454e-13,1.1237749460426163e-10,1.0620127029930016e-09,2.2302147290861413e-10,7.595139923044022e-11,7.760493664458853e-10,1.7586689838125064e-09,1.0245905772000343e-09,1.4114177210427264e-09,1.0404390429681376e-10,9.267149826431479e-10,4.088244623422862e-10,4.686108251340697e-10,2.217102563285091e-10,2.942056763020977e-10,2.949427235414009e-10,9.918037910719603e-12,1.7747097654018567e-12,2.8091543893802784e-10,1.1942062361846856e-12,6.844159977578615e-13,1.2095202000305211e-09
11.730941704035875,1.9541330993133875e-11,6.570915981119931e-10,2.4826279687060787e-10,7.091948341421005e-10,1.4533321124805177e-09,6.325155511888123e-10,1.8678474443386774e-09,5.080757692186883e-09,8.125293897731242e-10,1.4111624081079396e-09,1.3591945199843777e-09,1.7096879416087497e-09,4.4472677628474253e-10,2.7218076502524748e-09,3.8911855048843604e-10,1.8953220577616423e-09,1.9521837812932345e-09,5.178536930671832e-10,7.49826663401502e-10,2.0208552481595636e-10,1.8137340656592865e-11,1.049859632577109e-09,1.1411701173342788e-09,1.3144405357028436e-09,8.056054043800111e-10,1.4572597288320324e-11,1.7966827647072501e-10,1.4773926774314164e-09,4.077091978267047e-10,1.7538157203735777e-12,3.2578365989961577e-09,8.157387782776017e-10,8.366837458981783e-10,7.214612492867019e-10,3.1191915597176403e-10,5.106450809940137e-10,4.83795942877263e-10,2.3079974511060475e-09,2.6198087915907163e-11,2.9057651191492684e-12,1.909212573233398e-09,3.642562978593172e-12,4.0313443742111535e-10,5.394871547698739e-10,7.354378869103245e-12,7.362764240088879e-10,7.746890507528265e-10,2.526188693911315e-09,5.410367341727016e-10,7.946015034737155e-10,4.696640241849629e-10,2.6507284327723486e-09,2.7515109954089797e-13,1.6201425332194281e-10,6.856625442807692e-10,3.343551279670598e-10,5.012251268586976e-11,1.425112907606664e-09,2.248178360811992e-09,2.1675230935684968e-09,2.1181702025737584e-09,1.2802672502921024e-10,2.0652277242047564e-09,8.590927123894483e-10,4.2009091882349637e-10,2.2856220097034863e-10,3.755523116793318e-10,6.912264881768757e-10,9.79386247325265e-12,3.2584467164403425e-12,3.3184806455906534e-10,3.8780824945004786e-12,9.488120034291994e-13,2.2430549738966184e-09
11.67713004484305,3.357885147615233e-11,1.903661545026707e-09,5.83169296341533e-10,1.7893683496142814e-09,1.499032349883902e-09,1.0457976678831466e-09,1.6521242607571786e-09,5.271436596153933e-09,4.913888522493742e-10,2.7234883536378175e-09,1.347327199589297e-09,2.3347267017152856e-09,5.734603787389853e-10,2.764506917746316e-09,2.6177078688608925e-10,2.6055451255255224e-09,1.6592287738112899e-09,6.901487589915987e-10,7.147558834986878e-10,1.2793401928089559e-10,1.475510199315335e-11,1.9227591501851195e-09,2.579464603932879e-09,4.923335343534675e-09,9.876274943576464e-10,2.6494876761206546e-11,5.733845190107289e-10,1.5125434592432248e-09,4.506887564633442e-10,1.446195834047586e-12,8.599394679798185e-09,1.7435462406922896e-09,8.558983987411865e-10,1.399313427085216e-09,3.935280739025793e-10,3.972701524129182e-10,1.1811507206502836e-09,2.3690531975784742e-09,1.2983552778441907e-10,4.595709713243062e-12,3.5140718090523786e-09,2.1359984327709887e-12,3.612472912379845e-10,1.1920031011987369e-09,1.2656632020335086e-11,6.356985717610847e-10,5.299127421753298e-10,3.626223744684289e-09,2.485850566080664e-09,6.727955103421884e-10,7.868352465965135e-10,5.517437958622039e-09,7.166164020808411e-13,2.5838939795458236e-10,3.034744214222532e-10,5.532564878223564e-10,6.901640592702622e-11,1.7720336265871382e-09,3.1096667423409398e-09,4.1950733062575195e-09,1.8845702728609936e-09,2.145275468508228e-10,3.5661075764040132e-09,2.0067849950467233e-09,4.0460999468111835e-10,3.9765574234746123e-10,3.486107315230082e-10,9.925295273835136e-10,7.377819658183236e-12,3.838684557889308e-12,4.803298846943528e-10,7.782576881463893e-12,1.3871340923421759e-12,3.8898656858562536e-09
11.623318385650224,6.892054325882828e-11,3.970028796592351e-09,1.3033348614830174e-09,3.1523782855397915e-09,1.6112522216713937e-09,1.057620028543534e-09,1.2696380008982174e-09,6.595315157022029e-09,1.4676496948005889e-09,4.423816443868106e-09,8.874279763444745e-10,3.6182272231361224e-09,6.76948280235974e-10,4.826845673884209e-09,3.654506049816666e-10,3.017051070269387e-09,7.053237365643618e-10,6.332188546400937e-10,5.920333059199156e-10,1.6169055600118346e-10,6.998721059621589e-12,3.6400227416916706e-09,3.2079565925721178e-09,9.563374491211624e-09,1.651533427721168e-09,3.81467391779164e-11,6.498866249542673e-10,1.4974092113377309e-09,5.879061588099156e-10,2.855163544929241e-12,1.7646608695272023e-08,1.8834977815673373e-09,1.2543118770345588e-09,1.9542582654322046e-09,4.352715992870032e-10,8.333461467136003e-10,2.515848280321791e-09,2.461620684014712e-09,2.0859857171488406e-10,3.89636913261093e-12,3.2027386695950084e-09,1.1008343378652421e-11,3.0774890344141795e-10,1.6025902104633963e-09,3.2054615339005864e-11,4.3130345994714037e-10,4.331419638941801e-10,3.1590607553197353e-09,6.932365958947873e-09,2.646053818580368e-10,2.8730911860604524e-09,6.505993996261868e-09,1.1781007571916387e-12,1.3493407413163816e-09,1.042235518869523e-09,5.993028907869092e-10,8.961032171880514e-10,1.8216891762050978e-09,2.6826570753158997e-09,6.800059863830482e-09,8.509293614177306e-10,6.87027549834647e-10,5.9598981927478e-09,2.422457921707778e-09,1.7781333929993005e-10,1.2774650573346758e-09,4.725848097224264e-10,1.421670827848622e-09,1.6222133837195227e-11,2.6789956227736875e-12,4.5171254344492656e-10,1.0604713130267903e-11,3.885698445969443e-12,6.9432031090907504e-09
11.5695067264574,1.1636177268945229e-10,5.716232858079922e-09,1.3686796173502978e-09,3.686843665174138e-09,8.999547377742413e-10,1.0266799112038793e-09,8.158275616362644e-10,5.3211063484353954e-09,1.5161716577323113e-09,5.341652690613514e-09,1.698607570369215e-09,3.033101325142253e-09,1.07123049536132e-09,9.411541452957097e-09,2.915101875570742e-09,4.453500808638579e-09,1.3599543889927868e-09,5.349912303508645e-10,9.219947999383124e-10,2.1373113395500964e-10,2.3420066375548477e-12,5.8532688518831156e-09,2.3842480335732697e-09,1.0984481761376448e-08,1.5965167809211977e-09,3.4247213652744944e-11,5.819776891462246e-10,1.851869187590987e-09,1.8025190222498097e-09,3.5826187116313303e-12,2.919985131523052e-08,1.3837894916300738e-09,3.774129074658842e-09,2.4821539398712675e-09,4.2196150850022685e-10,1.0992639364966264e-09,3.9876417291676025e-09,1.4574891831579017e-09,2.653745960343026e-10,4.233556975427422e-12,5.15822052477351e-09,3.427929269092042e-11,9.675542428648105e-10,1.4253077351807688e-09,4.9326451060045195e-11,5.68274500862397e-10,3.8008233518778603e-10,1.9521807352833688e-09,1.0783319360002617e-08,1.0120179736128892e-10,3.64993479996489e-09,5.88383446973456e-09,3.178282872627682e-12,2.803473264376659e-09,2.502432840981773e-09,8.73004763681854e-10,1.763580010835496e-09,2.0804906844599637e-09,4.038883461116854e-09,8.751741955590036e-09,1.8298528530840764e-10,2.169367846140054e-09,1.4708994592515868e-08,5.131685881318339e-09,2.0443472790187536e-10,2.2950731547940743e-09,1.7067366973486351e-09,1.366936372542116e-09,6.059031891962504e-11,1.1814952216839497e-12,4.294597946359878e-10,9.118625121894595e-12,8.60078450209454e-12,1.607282646149598e-08
11.515695067264575,1.5666992768706953e-10,7.578748770275533e-09,1.8722491933016653e-09,3.825914990532196e-09,1.1348922027829363e-09,2.564738749079666e-09,6.93868074643967e-10,5.102789461097658e-09,3.217878090740302e-09,5.683578292834997e-09,2.221519346327973e-09,7.393730990122316e-09,5.531331333694977e-09,1.0219785050731372e-08,7.821314871596077e-09,9.498570432778871e-09,2.780141835346243e-09,5.842457268756728e-10,1.8777994121961185e-09,2.143970601279083e-10,4.219585106595388e-12,6.8032257590510985e-09,1.8938837703051487e-09,8.973603896281645e-09,3.413169894655144e-09,3.872638091140693e-11,6.679803447870323e-10,5.368977201417136e-09,4.121316829760371e-09,4.476219867564854e-12,3.148111360116544e-08,5.303170834962504e-10,6.80144917741577e-09,6.061791386846934e-09,8.727018942919007e-10,9.564068895896498e-10,6.269825271889292e-09,1.6130590105756494e-09,1.889763013264467e-10,6.952341744080049e-12,1.0235801926782395e-08,4.311208172015221e-11,1.4002568604427215e-09,8.484749194453875e-10,4.5184910631849423e-11,5.348076935703399e-10,1.1156735521882273e-09,3.3521824245028825e-09,1.1828037493131336e-08,3.9908986677960974e-10,4.6975912845699115e-09,2.5928497517902526e-09,9.195142415981887e-12,5.1285229840949895e-09,2.7233311093543468e-09,1.0665601459808402e-09,2.833575377040227e-09,2.6246929336906148e-09,6.056113843458414e-09,7.879597905881978e-09,5.549133138848419e-10,4.514972391084208e-09,1.819592372505612e-08,9.904179670430664e-09,2.5650707152078087e-10,2.3792959003919374e-09,4.0168899305467354e-09,1.4333767258327362e-09,6.541944803637274e-11,2.587762826355529e-12,4.865066577421299e-10,5.970274656718981e-12,1.2375857149328088e-11,1.952096068192516e-08
11.461883408071749,1.7550678550991688e-10,8.957240827764204e-09,2.460346545386392e-09,3.5246073945310097e-09,2.29644979087263e-09,3.3056791973335695e-09,8.615503999919079e-10,2.511727580053321e-09,3.3579070688810906e-09,4.576356527986513e-09,2.264646091610792e-09,6.129342566306632e-09,7.674606136635422e-09,8.938178180346522e-09,1.1478798994593895e-08,1.1467099037923086e-08,2.838290802691732e-09,9.175368607792281e-10,2.2553544394824447e-09,1.5458633914313747e-09,1.9284184732521603e-11,5.959274746421331e-09,2.6329176142034547e-09,7.578244379292154e-09,3.993811746917488e-09,1.1609521439088595e-10,1.1142919606086434e-09,1.1138053701887637e-08,5.905378220276706e-09,4.250010764368628e-12,2.2173885533012658e-08,4.409431318826024e-10,1.044428580651764e-08,1.2264836443379201e-08,1.4840870452861908e-09,8.574354465737032e-10,9.33520472959066e-09,1.4521540613665466e-08,1.1238569834691906e-10,1.4714568757369274e-11,1.5355355851113983e-08,3.418554932219084e-11,3.2066588623290247e-09,4.615480523130258e-10,2.962321728304006e-11,4.969364031571855e-10,1.986414484615301e-09,9.10489228005654e-09,9.16662584905812e-09,2.687437837262757e-09,6.0550057446037405e-09,1.0409748172941646e-09,9.519954822129215e-12,5.567567045575511e-09,2.9339064445065082e-09,9.726097511849786e-10,2.5338296376670663e-09,3.666294186951487e-09,7.889392194413791e-09,6.463859120596385e-09,1.2722398457701035e-09,6.085243085529254e-09,1.520508419276566e-08,1.4791938540708181e-08,5.456397077993947e-10,1.9293820759642635e-09,5.538315670994301e-09,3.623113927218747e-09,5.995581136375225e-11,5.029190866416948e-12,5.866001666535491e-10,2.5428611523252723e-12,1.1810819636690112e-11,1.572773797305376e-08
11.408071748878925,2.697790529072971e-10,7.966647219486813e-09,5.280281527214866e-09,3.178058332863127e-09,2.1224768004268518e-09,3.378596864525232e-09,8.864848583061116e-10,1.8673262950445314e-09,1.1339658206713105e-08,2.8740096499804003e-09,2.626989352902148e-09,9.962768666536084e-09,8.245304610665632e-09,7.250142906958453e-09,9.422597764945466e-09,1.0685706811261756e-08,2.7607883996889088e-09,8.327204759365833e-10,1.8447169726355905e-09,5.640813991113423e-09,4.785207775361045e-11,4.4098278291209745e-09,3.4665098491680997e-09,8.143817681566727e-09,4.271062083974394e-09,1.6236165124923267e-10,1.2170955873165207e-09,1.1137139431317932e-08,4.999633462100574e-09,3.2752408198246005e-12,1.9804694634123033e-08,9.142936844265438e-10,9.824507398419735e-09,1.3337899262599179e-08,1.468829080885595e-09,4.526883613111805e-09,1.493430629800035e-08,3.580476993170939e-08,1.7807601008307866e-10,2.564103056737777e-11,1.508112543468828e-08,2.8592026884961073e-11,4.730127000245973e-09,1.618476173286231e-09,6.49559297145596e-11,1.3829779775188999e-09,6.932641444158642e-09,1.5260133189708618e-08,5.033346990246813e-09,6.021602987755305e-09,1.2077946549983118e-08,2.4830689050185083e-09,7.571095637049717e-12,4.4505206421078465e-09,1.95145871406414e-09,2.4052899147633674e-09,2.7166368951264546e-09,4.704363166408954e-09,9.102893710917088e-09,5.179030838528699e-09,1.4215829195292283e-09,5.283670162332945e-09,7.235780202516215e-09,1.703528509868585e-08,1.7589026692579781e-09,2.400850111852595e-09,4.299475406629597e-09,7.312824962643982e-09,2.3559887987172384e-11,5.239051367685794e-12,5.490795770194901e-10,1.8563000585934922e-12,6.903151708345208e-12,7.209305089638509e-09
